Disease,Region,Latitude,Longitude,Altitude,Animal_Type,Animal_Ownership,Immunization_Status,Identification_Method,Community_HDA_Identified,Animal_Image
Rabies,Oromia,3.5466242,39.0522784,1105.599976,Sheep,Yes,Not vaccinated,House to house visit,Yes,http://api.ona.io/api/v1/files/31898456?filename=tenager_tadesse/attachments/466122_CGPP_Ethiopia_Surevillance_form_GHS_CGP/1677136498410.jpg
Rabies,Oromia,3.65471,38.9596469,1178.0,Sheep,Yes,Not vaccinated,Community gathering,Yes,
Rabies,Oromia,3.6547068,38.9596221,1177.6,Sheep,Yes,Not vaccinated,Community gathering,Yes,
Rabies,Gambella,8.1934081,34.2672235,435.3,Goat,Yes,Not vaccinated,House to house visit,Yes,http://api.ona.io/api/v1/files/31768676?filename=tenager_tadesse/attachments/466122_CGPP_Ethiopia_Surevillance_form_GHS_CGP/1676618800017.jpg
Rabies,Gambella,8.1916235,34.2666742,418.8,Dog,Yes,Not vaccinated,Community gathering,Yes,http://api.ona.io/api/v1/files/31759438?filename=tenager_tadesse/attachments/466122_CGPP_Ethiopia_Surevillance_form_GHS_CGP/1676474758625.jpg
Rabies,Gambella,8.1914678,34.2667365,434.0,Dog,Yes,Not vaccinated,Community gathering,No,http://api.ona.io/api/v1/files/31699717?filename=tenager_tadesse/attachments/466122_CGPP_Ethiopia_Surevillance_form_GHS_CGP/1676055516509.jpg
Rabies,Somali,4.2852792,40.0237812,1134.091554,Goat,Yes,Not vaccinated,During campaign,Yes,http://api.ona.io/api/v1/files/22606954?filename=tenager_tadesse/attachments/466122_CGPP_Ethiopia_Surevillance_form_GHS_CGP/1634197307300.jpg
Rabies,Somali,4.3324958,40.0004022,1157.115684,Wild animal,No,Not vaccinated,During campaign,Yes,http://api.ona.io/api/v1/files/22607085?filename=tenager_tadesse/attachments/466122_CGPP_Ethiopia_Surevillance_form_GHS_CGP/1634196496348.jpg
Rabies,Somali,3.7884892,39.2821808,994.7389868,Cow,Yes,Not vaccinated,House to house visit,Yes,http://api.ona.io/api/v1/files/19463689?filename=tenager_tadesse/attachments/466122_CGPP_Ethiopia_Surevillance_form_GHS_CGP/1615123731220.jpg
Rabies,Somali,3.7924367,39.2769964,1006.444267,Cow,Yes,Not vaccinated,House to house visit,Yes,http://api.ona.io/api/v1/files/19476443?filename=tenager_tadesse/attachments/466122_CGPP_Ethiopia_Surevillance_form_GHS_CGP/1615123532472.jpg
Rabies,Somali,3.7924143,39.2769615,999.9434782,Cow,Yes,Not vaccinated,House to house visit,Yes,http://api.ona.io/api/v1/files/19476432?filename=tenager_tadesse/attachments/466122_CGPP_Ethiopia_Surevillance_form_GHS_CGP/1615123345169.jpg
Rabies,Somali,3.7924288,39.2769524,995.480586,Cow,Yes,Not vaccinated,House to house visit,Yes,http://api.ona.io/api/v1/files/19476422?filename=tenager_tadesse/attachments/466122_CGPP_Ethiopia_Surevillance_form_GHS_CGP/1615122292567.jpg
Rabies,Somali,3.7924293,39.2769908,993.0503803,Cow,Yes,Not vaccinated,House to house visit,Yes,http://api.ona.io/api/v1/files/19476419?filename=tenager_tadesse/attachments/466122_CGPP_Ethiopia_Surevillance_form_GHS_CGP/1615122044270.jpg
Rabies,SNNP,7.0568113,35.5001767,1687.0,Dog,No,Rabies vaccinated,Health Facility,Yes,
Rabies,Oromia,4.1369829,37.8941055,910.8114018,Ox,Yes,Not vaccinated,House to house visit,Yes,
Rabies,Oromia,4.4863055,37.7321423,1084.080669,Dog,No,Not vaccinated,Community gathering,Yes,
Rabies,Oromia,3.5807286,39.0385098,1160.5,Sheep,Yes,Not vaccinated,Health Facility,Yes,http://api.ona.io/api/v1/files/31115009?filename=tenager_tadesse/attachments/466122_CGPP_Ethiopia_Surevillance_form_GHS_CGP/1672128760271.jpg
Rabies,Oromia,3.5943355,39.0303615,1103.927117,Sheep,Yes,Not vaccinated,House to house visit,No,
Rabies,Oromia,3.6078188,38.8361987,1247.618042,Goat,Yes,Not vaccinated,House to house visit,Yes,
Rabies,Oromia,3.6078432,38.8361938,1249.617229,Goat,Yes,Not vaccinated,House to house visit,Yes,
Rabies,SNNP,6.871997,35.5241108,1605.18,Sheep,Yes,Rabies vaccinated,House to house visit,No,
Rabies,Benshangul Gumuz,10.6218302,35.6120224,2379.6,Wild animal,No,Not vaccinated,Health Facility,No,http://api.ona.io/api/v1/files/29699566?filename=tenager_tadesse/attachments/466122_CGPP_Ethiopia_Surevillance_form_GHS_CGP/1665983150133.jpg
Rabies,Benshangul Gumuz,10.6215908,35.6121886,2384.4,Cow,Yes,Not vaccinated,Health Facility,No,http://api.ona.io/api/v1/files/29699562?filename=tenager_tadesse/attachments/466122_CGPP_Ethiopia_Surevillance_form_GHS_CGP/1665982536899.jpg
Rabies,Benshangul Gumuz,10.6213966,35.6120034,2383.4,Dog,Yes,Not vaccinated,Health Facility,No,http://api.ona.io/api/v1/files/29699559?filename=tenager_tadesse/attachments/466122_CGPP_Ethiopia_Surevillance_form_GHS_CGP/1665982900046.jpg
Rabies,Oromia,4.0317923,38.3457526,1694.400024,Dog,No,Not vaccinated,House to house visit,Yes,
Rabies,Benshangul Gumuz,11.4192784,36.4535544,1118.9,Cat,Yes,Rabies vaccinated,Community gathering,No,http://api.ona.io/api/v1/files/29121822?filename=tenager_tadesse/attachments/466122_CGPP_Ethiopia_Surevillance_form_GHS_CGP/1663472047341.jpg
Rabies,Benshangul Gumuz,10.0206393,35.2110364,1166.7,Sheep,Yes,Rabies vaccinated,House to house visit,Yes,
Rabies,Benshangul Gumuz,10.2026382,35.0769856,1047.5,Goat,Yes,Rabies vaccinated,House to house visit,Yes,http://api.ona.io/api/v1/files/28675873?filename=tenager_tadesse/attachments/466122_CGPP_Ethiopia_Surevillance_form_GHS_CGP/1660846085481.jpg
Rabies,Gambella,8.1882111,34.2621921,406.2,Goat,Yes,Not vaccinated,House to house visit,No,http://api.ona.io/api/v1/files/28602391?filename=tenager_tadesse/attachments/466122_CGPP_Ethiopia_Surevillance_form_GHS_CGP/1660710999305.jpg
Rabies,Benshangul Gumuz,10.1804518,34.8517576,1049.0,Dog,Yes,Rabies vaccinated,House to house visit,Yes,http://api.ona.io/api/v1/files/28262017?filename=tenager_tadesse/attachments/466122_CGPP_Ethiopia_Surevillance_form_GHS_CGP/1657262144882.jpg
Rabies,Benshangul Gumuz,10.180345,34.8517019,1083.0,Dog,Yes,Rabies vaccinated,House to house visit,Yes,
Rabies,Gambella,8.3330922,33.9631856,0.0,Goat,Yes,Not vaccinated,House to house visit,Yes,
Rabies,Somali,9.0110977,40.3058313,0.0,Dog,Yes,Not vaccinated,Health Facility,Yes,
Rabies,Gambella,8.2690503,34.5834657,0.0,Dog,No,Not vaccinated,House to house visit,Yes,
Rabies,Benshangul Gumuz,10.35608235,34.76150779,1141.0,Dog,No,Not vaccinated,House to house visit,No,
Rabies,SNNP,5.7867668,36.5672899,1412.0,Dog,Yes,Not vaccinated,House to house visit,No,
Rabies,SNNP,5.8757562,36.8173194,1162.0,Dog,Yes,Not vaccinated,House to house visit,Yes,
Rabies,Somali,4.744416667,39.23339,856.8,Dog,Yes,Not vaccinated,Community gathering,Yes,http://api.ona.io/api/v1/files/24800976?filename=tenager_tadesse/attachments/466122_CGPP_Ethiopia_Surevillance_form_GHS_CGP/1645004086740.jpg
Rabies,Benshangul Gumuz,10.0794793,34.5499464,1541.900024,Dog,Yes,Not vaccinated,House to house visit,Yes,http://api.ona.io/api/v1/files/24345165?filename=tenager_tadesse/attachments/466122_CGPP_Ethiopia_Surevillance_form_GHS_CGP/1642221318669.jpg
Rabies,Benshangul Gumuz,10.38910038,34.72200355,1202.0,Dog,No,Not vaccinated,House to house visit,Yes,
Rabies,Gambella,7.2335908,35.318376,0.0,Dog,Yes,Not vaccinated,Community gathering,Yes,http://api.ona.io/api/v1/files/23699512?filename=tenager_tadesse/attachments/466122_CGPP_Ethiopia_Surevillance_form_GHS_CGP/1638952449882.jpg
Rabies,Gambella,7.2490453,35.3023343,0.0,Dog,Yes,Not vaccinated,Community gathering,Yes,http://api.ona.io/api/v1/files/23692594?filename=tenager_tadesse/attachments/466122_CGPP_Ethiopia_Surevillance_form_GHS_CGP/1638874046088.jpg
Rabies,Gambella,7.2357806,35.3189424,0.0,Dog,No,Rabies vaccinated,Community gathering,Yes,http://api.ona.io/api/v1/files/23668500?filename=tenager_tadesse/attachments/466122_CGPP_Ethiopia_Surevillance_form_GHS_CGP/1638783731336.jpg
Rabies,Gambella,7.2357806,35.3189424,0.0,Dog,No,Rabies vaccinated,Community gathering,Yes,
Rabies,Gambella,7.2462963,35.3231718,0.0,Dog,No,Not vaccinated,Other specify,Yes,http://api.ona.io/api/v1/files/23665879?filename=tenager_tadesse/attachments/466122_CGPP_Ethiopia_Surevillance_form_GHS_CGP/1638865067489.jpg
Rabies,Gambella,7.2344171,35.3185458,0.58228248,Dog,Yes,Rabies vaccinated,Health Facility,No,
Rabies,Oromia,3.868095,38.68783833,1261.5,Dog,Yes,Not vaccinated,Health Facility,No,
Rabies,Somali,6.9798653,46.4092756,395.4302342,Other,No,Not vaccinated,Health Facility,Yes,http://api.ona.io/api/v1/files/22537034?filename=tenager_tadesse/attachments/466122_CGPP_Ethiopia_Surevillance_form_GHS_CGP/1630162017766.jpg
Rabies,Gambella,8.2552989,34.5934038,445.0440099,Dog,Yes,Not vaccinated,Community gathering,Yes,
