iter	Logloss
0	0.6147510789
1	0.5672779517
2	0.5214310559
3	0.4952427691
4	0.4671823762
5	0.4530142004
6	0.4363589287
7	0.4150192954
8	0.3953165575
9	0.3808284239
10	0.374826518
11	0.3678993745
12	0.3603040522
13	0.3550600355
14	0.3447352106
15	0.3402239409
16	0.3349488865
17	0.3259317008
18	0.3225561055
19	0.3180994987
20	0.3167125962
21	0.3115069649
22	0.3040163734
23	0.2992242466
24	0.2947330258
25	0.2905453335
26	0.2877323411
27	0.2845900709
28	0.2811830477
29	0.278057922
30	0.2738365694
31	0.2710144303
32	0.2672761787
33	0.2658289779
34	0.2641233964
35	0.259958614
36	0.2575091449
37	0.2542174513
38	0.2520464984
39	0.2510171153
40	0.2492388595
41	0.2465545481
42	0.2439819032
43	0.2406297814
44	0.2387215874
45	0.237433867
46	0.2346493114
47	0.2317658338
48	0.2314774773
49	0.2292271094
50	0.2272071838
51	0.2244807157
52	0.2222987088
53	0.2210557027
54	0.2186171792
55	0.2166652463
56	0.2145517089
57	0.2124606913
58	0.2103022012
59	0.210087386
60	0.2073638222
61	0.2061179118
62	0.2049470598
63	0.203332034
64	0.2009110017
65	0.1997874
66	0.197599411
67	0.1962531697
68	0.1958050078
69	0.1936853582
70	0.1930302707
71	0.1916324876
72	0.1907315254
73	0.189968586
74	0.186841748
75	0.1850413409
76	0.1838774248
77	0.1830662597
78	0.1822612719
79	0.1811821244
80	0.179244735
81	0.1779497537
82	0.1766422879
83	0.1760525053
84	0.1748154597
85	0.1735879616
86	0.172353246
87	0.1702288064
88	0.1694154631
89	0.167825623
90	0.1658033024
91	0.1642993797
92	0.1632931232
93	0.1619741158
94	0.161031788
95	0.1595150232
96	0.1587099596
97	0.1571223302
98	0.1562767137
99	0.1551422423
100	0.1536268213
101	0.1521477699
102	0.1510560404
103	0.1495685903
104	0.1486924562
105	0.147879904
106	0.1464113756
107	0.1443699056
108	0.143018961
109	0.1425263882
110	0.1412343762
111	0.1403385726
112	0.1395998868
113	0.1391876611
114	0.1387826421
115	0.1374121471
116	0.136179393
117	0.1356273456
118	0.1348264868
119	0.1338062937
120	0.1328267726
121	0.1323010488
122	0.1315949397
123	0.1307533004
124	0.1298308047
125	0.1285590367
126	0.1278631254
127	0.1270403103
128	0.1265027957
129	0.1254522367
130	0.1249761256
131	0.1244602854
132	0.1234308156
133	0.1227256927
134	0.122420311
135	0.1219880364
136	0.1199215976
137	0.1189426184
138	0.1181798415
139	0.1165604591
140	0.1157831387
141	0.1142493486
142	0.1132686572
143	0.1124931249
144	0.1113966487
145	0.1109092994
146	0.1098400788
147	0.1090174805
148	0.1085274653
149	0.1079000126
150	0.1070031144
151	0.1060997898
152	0.1058353511
153	0.1053993268
154	0.1050601222
155	0.1045775197
156	0.1033967625
157	0.1030918577
158	0.1026661396
159	0.102314819
160	0.1017030478
161	0.1013201584
162	0.1011125066
163	0.1006194353
164	0.1004244848
165	0.09950162064
166	0.09849411791
167	0.09831634435
168	0.09799957275
169	0.09755565903
170	0.09725531665
171	0.09697203203
172	0.09665817564
173	0.09619233825
174	0.09565429254
175	0.09541887587
176	0.0949003263
177	0.09416480498
178	0.09321572564
179	0.09249397841
180	0.09193007513
181	0.09152441675
182	0.09129985896
183	0.09109990163
184	0.09035818685
185	0.0901737755
186	0.08948768269
187	0.08873650161
188	0.08812597123
189	0.08747833425
190	0.08668507229
191	0.08589545163
192	0.08571665395
193	0.08524006063
194	0.08504460617
195	0.08454938368
196	0.08365356922
197	0.08336669748
198	0.08306602456
199	0.08293250474
200	0.0828121738
201	0.08239303936
202	0.08205988732
203	0.08146589453
204	0.08061216636
205	0.08033581214
206	0.07970524376
207	0.07935151729
208	0.07876419479
209	0.0784341422
210	0.07781074264
211	0.07740677487
212	0.07717446847
213	0.07696985115
214	0.0768409263
215	0.07669612494
216	0.07613981854
217	0.07569888505
218	0.07556867058
219	0.07544951005
220	0.07479637319
221	0.07457419959
222	0.07399240407
223	0.07373448935
224	0.07321921262
225	0.07293334332
226	0.07269678333
227	0.07230274244
228	0.07183164358
229	0.07172043757
230	0.0712888891
231	0.07123496316
232	0.070937601
233	0.07068822059
234	0.07010214979
235	0.06972046874
236	0.06944356181
237	0.06916483966
238	0.06910798766
239	0.06874655594
240	0.06831695275
241	0.06794676997
242	0.06766110117
243	0.06755760041
244	0.06741471724
245	0.06717763164
246	0.06707174128
247	0.0667901581
248	0.06650160118
249	0.06616448272
250	0.06611317938
251	0.06574000012
252	0.06525951082
253	0.06499400464
254	0.06467996402
255	0.06443409486
256	0.06438999826
257	0.06413807652
258	0.06379705667
259	0.06353610754
260	0.06331078573
261	0.06302803213
262	0.06273514574
263	0.06235094504
264	0.06219808622
265	0.06207358837
266	0.06174166636
267	0.06161992116
268	0.06143641472
269	0.06139416044
270	0.06105393713
271	0.0608187372
272	0.0603864193
273	0.06016768109
274	0.05986817858
275	0.05963709138
276	0.05931051211
277	0.05887343667
278	0.05839726058
279	0.05828354034
280	0.0581367341
281	0.05791091919
282	0.05777796832
283	0.05753997239
284	0.05749107491
285	0.05721200596
286	0.0569961938
287	0.05694283139
288	0.05638947812
289	0.05611774054
290	0.05604535341
291	0.05590488694
292	0.0558548949
293	0.05560507016
294	0.05515391176
295	0.0547578985
296	0.05459095131
297	0.0544190461
298	0.05426548828
299	0.05401616747
300	0.05351581357
301	0.05326750062
302	0.0530620705
303	0.05289097266
304	0.05251207135
305	0.05237945643
306	0.05217871883
307	0.05194448883
308	0.05162970044
309	0.05151387778
310	0.05137185617
311	0.05106590011
312	0.05080520023
313	0.05053987286
314	0.05047617175
315	0.05021258918
316	0.04994799332
317	0.04967262528
318	0.04924320633
319	0.04898283698
320	0.04886487397
321	0.048624884
322	0.04845528711
323	0.04823447358
324	0.04815201868
325	0.04805924676
326	0.04790100184
327	0.04765161601
328	0.04746187817
329	0.04741769487
330	0.047335072
331	0.04717064446
332	0.04707044905
333	0.04693242637
334	0.04656486078
335	0.04639556733
336	0.04607848688
337	0.04589955915
338	0.04572875933
339	0.04563973167
340	0.0456059846
341	0.04539457505
342	0.04521003095
343	0.04495460879
344	0.04463582689
345	0.04452615434
346	0.04438235543
347	0.04426976767
348	0.04421329498
349	0.04405280135
350	0.04395063899
351	0.04385349967
352	0.04360212792
353	0.04333477129
354	0.04321448911
355	0.04303254864
356	0.04290005565
357	0.04276494005
358	0.04266200282
359	0.04245460846
360	0.04224583507
361	0.04198211161
362	0.04180169918
363	0.04159048471
364	0.04153955254
365	0.04138574817
366	0.04129567471
367	0.04107346589
368	0.04091902484
369	0.040658455
370	0.04057589715
371	0.04048677466
372	0.04037016901
373	0.04020045562
374	0.04006952589
375	0.03990550746
376	0.03955313563
377	0.03937450864
378	0.03928923065
379	0.03914482485
380	0.03904423118
381	0.03889290311
382	0.03873819655
383	0.03861890056
384	0.03850903836
385	0.03846532106
386	0.03816624392
387	0.03803491592
388	0.03799436038
389	0.03781494769
390	0.03766080466
391	0.03745979342
392	0.03732096607
393	0.03722052683
394	0.03703671423
395	0.03694640506
396	0.03686675971
397	0.03671355139
398	0.03661727634
399	0.03650912372
400	0.03642947836
401	0.03622220321
402	0.03605406664
403	0.03597270359
404	0.03582543677
405	0.03565285964
406	0.03548732671
407	0.03541117365
408	0.03535825285
409	0.03531624241
410	0.03524963422
411	0.03508088264
412	0.03497320955
413	0.0348137292
414	0.03467269919
415	0.03452489051
416	0.03437068787
417	0.03421930562
418	0.03414468332
419	0.03401732445
420	0.03383923932
421	0.03370722316
422	0.03368091583
423	0.03354790807
424	0.03350603039
425	0.03338154338
426	0.03324712948
427	0.03319719163
428	0.03313396736
429	0.03301283175
430	0.03275485743
431	0.03272337805
432	0.0326933346
433	0.03258642825
434	0.03243235025
435	0.0324072296
436	0.03229699893
437	0.03221569278
438	0.03212401542
439	0.0320114087
440	0.03194228627
441	0.03189458088
442	0.03183457526
443	0.03177232634
444	0.03170584549
445	0.03165169196
446	0.03158114173
447	0.03149456328
448	0.03143013607
449	0.03129038486
450	0.03123694116
451	0.03115517443
452	0.03106289831
453	0.03103439916
454	0.03091121262
455	0.03079854087
456	0.0307235501
457	0.03065275062
458	0.03062305125
459	0.0305667655
460	0.03047478741
461	0.03035167672
462	0.03029390899
463	0.03019174663
464	0.03012262691
465	0.03005525199
466	0.03000562841
467	0.0299418108
468	0.02981865135
469	0.02975880287
470	0.02965784073
471	0.02956175262
472	0.02953446995
473	0.02940899134
474	0.02937340195
475	0.02925051342
476	0.02918841893
477	0.02907675776
478	0.02890213511
479	0.02887461944
480	0.02882577614
481	0.02877550775
482	0.02869391983
483	0.02859546651
484	0.02850487828
485	0.02839135311
486	0.02830030701
487	0.02805675702
488	0.02803183144
489	0.02790310708
490	0.02781332081
491	0.02772827311
492	0.02764602954
493	0.02759138562
494	0.02750824798
495	0.02742848071
496	0.02723944729
497	0.02719610388
498	0.02712034366
499	0.02709862048
